n140083243052824,24,0.4422638050.00012449,0.442263805,0.00012449
n140083243053208,24,0.4421840510.000120698,0.442184051,0.000120698
n140083243072664,24,0.4325573520.000116791,0.432557352,0.000116791
n140083243071896,24,0.4353931660.0001338,0.435393166,0.0001338
n140083243073048,24,0.4289706040.000112809,0.428970604,0.000112809
n140083243071128,24,0.4558672180.000116222,0.455867218,0.000116222
n140083243074200,24,0.4499071490.000116495,0.449907149,0.000116495
n140083243074968,24,0.4375792230.000132888,0.437579223,0.000132888
n140083243076120,24,0.4551596660.000118569,0.455159666,0.000118569
n140083243076888,24,0.4511859720.000120739,0.451185972,0.000120739
n140083243075352,24,0.4381163850.000118917,0.438116385,0.000118917
n140083243193112,24,0.4357454430.000126984,0.435745443,0.000126984
n140083243193880,24,0.4556947880.000117936,0.455694788,0.000117936
n140083243194648,24,0.4567289280.000117755,0.456728928,0.000117755
n140083243195416,24,0.4273980920.000117087,0.427398092,0.000117087
n140083243196184,16,0.2844835740.000086584,0.284483574,0.000086584
n140083243196952,23,0.1263775060.000243704,0.126377506,0.000243704
n140083243198488,23,0.1401237030.000199694,0.140123703,0.000199694
n140083243199256,23,0.1360579480.000205126,0.136057948,0.000205126
n140083243200024,23,0.1390615580.000205022,0.139061558,0.000205022
n140083243200792,23,0.1381090850.000205596,0.138109085,0.000205596
n140083243201560,23,0.1184434030.000201029,0.118443403,0.000201029
n140083243202328,23,0.1269304920.000200406,0.126930492,0.000200406
n140083243203096,23,0.1401056150.000210826,0.140105615,0.000210826
n140083243203864,23,0.1206118460.000201152,0.120611846,0.000201152
n140083243147288,23,0.1282267320.000223899,0.128226732,0.000223899
n140083243148056,23,0.1406903790.000200715,0.140690379,0.000200715
n140083243148824,23,0.1394687130.000199638,0.139468713,0.000199638
n140083243149592,23,0.1303336270.000200205,0.130333627,0.000200205
n140083243150360,23,0.126180670.000194808,0.12618067,0.000194808
n140083243151128,23,0.1408414740.000214029,0.140841474,0.000214029
n140083243151896,15,0.0855048880.000139743,0.085504888,0.000139743
n140083242895576,0,0.008430735
n140083242892824,27,0.4920362190.00015417,0.492036219,0.00015417
n140083243223064,26,0.513156820.000151204,0.51315682,0.000151204
n140083243223576,24,0.4956047560.00013811,0.495604756,0.00013811
n140083243224600,25,0.4888586770.000154992,0.488858677,0.000154992
n140083243524632,25,0.5007195090.000136384,0.500719509,0.000136384
n140083243525656,23,0.5498111480.000128837,0.549811148,0.000128837
n140083243526680,23,0.5410073760.000125446,0.541007376,0.000125446
n140083243527704,25,0.5411046220.000182419,0.541104622,0.000182419
n140083243024920,23,0.5425208280.000129694,0.542520828,0.000129694
n140083243025944,21,0.5413583610.000126581,0.541358361,0.000126581
n140083243026968,23,0.5357726270.000127063,0.535772627,0.000127063
n140083243027992,19,0.4963035360.000121764,0.496303536,0.000121764
n140083243590168,21,0.5569935080.000132705,0.556993508,0.000132705
n140083243591192,24,0.5319066860.000132976,0.531906686,0.000132976
n140083243592216,23,0.514979510.000155596,0.51497951,0.000155596
n140083243593240,24,0.5123908770.00014506,0.512390877,0.00014506
n140083242896024,0,0.00022357
n140083243152664,1,0.000330490.000014898,0.00033049,0.000014898
n140083243198104,1,0.000324320.000015685,0.00032432,0.000015685
n140083243153432,1,0.0003433180.000014734,0.000343318,0.000014734
n140083243610520,1,0.0002949790.000013505,0.000294979,0.000013505
n140083243610904,0,0.000005768
n140083243611288,0,0.000005009
n140083243611672,0,0.000004784
n140083243612056,0,0.000005018
n140083243612440,0,0.000004593
n140083243612824,0,0.000004523
n140083243613208,0,0.000004548
n140083243613592,0,0.0000044
n140083243613976,0,0.000004756
n140083243614360,0,0.000004528
n140083243614744,0,0.000004568
n140083243615128,0,0.000005724
n140083242748312,1,0.0006045790.000016181,0.000604579,0.000016181
n140083242750232,1,0.0005619560.000017096,0.000561956,0.000017096
n140083242752152,1,0.0005554130.000013467,0.000555413,0.000013467
n140083243708440,1,0.0004872690.00001164,0.000487269,0.00001164
n140083243710360,0,0.000012928
n140083243712280,0,0.000005273
n140083243714200,0,0.000004991
n140083243716120,0,0.000004925
n140083243718040,0,0.000004872
n140083243719960,0,0.000004551
n140083243721880,0,0.000004631
n140083243723800,0,0.000004586
n140083243725720,0,0.000005061
n140083243727640,0,0.00000466
n140083243770520,0,0.000005111
n140083243772440,0,0.000005758
n140083243595288,1,0.0000025350.000013483,0.000002535,0.000013483
n140083243790360,1,0.0000025720.000013176,0.000002572,0.000013176
n140083243790872,1,0.0000024720.000012357,0.000002472,0.000012357
n140083243791384,1,0.0000016690.000009274,0.000001669,0.000009274
n140083243792920,0,0.000004792
n140083243798552,0,0.000005136
n140083243800088,0,0.000005297
n140083243801624,0,0.000004547
n140083243803160,0,0.000004564
n140083243804696,0,0.000004915
n140083243806232,0,0.000004984
n140083243807768,0,0.000005034
n140083243809304,0,0.000005377
n140083242811416,0,0.000005072
n140083242812952,0,0.000005588
n140083242814488,0,0.000004474
n140083243774360,3,0.0001551640.000017982,0.000155164,0.000017982
n140083243775000,3,0.0001737950.000023172,0.000173795,0.000023172
n140083243776280,3,0.0001541270.000018357,0.000154127,0.000018357
n140083243777560,3,0.0001314940.000015336,0.000131494,0.000015336
n140083243778840,1,0.0000532940.000009053,0.000053294,0.000009053
n140083243780120,1,0.0000407050.00000942,0.000040705,0.00000942
n140083243781400,1,0.0000340630.000009096,0.000034063,0.000009096
n140083243782680,1,0.0000310840.000007816,0.000031084,0.000007816
n140083243783960,1,0.0000414550.000009014,0.000041455,0.000009014
n140083243785240,1,0.0000454910.000010597,0.000045491,0.000010597
n140083243786520,1,0.0000441410.000008863,0.000044141,0.000008863
n140083243787800,1,0.0000370250.000008672,0.000037025,0.000008672
n140083243789080,1,0.0000409970.000010492,0.000040997,0.000010492
n140083243835416,1,0.0000472070.000008142,0.000047207,0.000008142
n140083243836696,1,0.0000357860.000008491,0.000035786,0.000008491
n140083243837976,1,0.0000295850.00000781,0.000029585,0.00000781
n140083243077656,5,0.0005530710.000255039,0.000553071,0.000255039
n140083243615512,4,0.0007045550.000021416,0.000704555,0.000021416
n140083242892312,4,0.000012950.000022433,0.00001295,0.000022433
n140083242624408,1,0.0000015260.000003757,0.000001526,0.000003757
n140083242624792,1,4.540.000002728,4.54,0.000002728
n140085332421656,5,0.0000321740.000024465,0.000032174,0.000024465
n140083200991256,253,0.0038541130.014418539,0.003854113,0.014418539
n140085300052248,17,0.0209174580.000066239,0.020917458,0.000066239
n140085300052632,17,0.0204248020.00007548,0.020424802,0.00007548
n140085265133592,17,0.0207191360.000068765,0.020719136,0.000068765
n140085265134744,17,0.0208116540.000070254,0.020811654,0.000070254
n140085302243352,17,0.0207234660.000070969,0.020723466,0.000070969
n140085302244504,17,0.0207065030.000070629,0.020706503,0.000070629
n140084983090968,17,0.0202643850.000078014,0.020264385,0.000078014
n140084983091352,17,0.0206367490.000070334,0.020636749,0.000070334
n140083385155608,17,0.0205421410.000077128,0.020542141,0.000077128
n140083385156760,17,0.0207318280.000074365,0.020731828,0.000074365
n140085506572824,17,0.0216713740.000072962,0.021671374,0.000072962
n140085506573208,18,0.0216224530.000090081,0.021622453,0.000090081
n140085315831832,17,0.0204433410.000070714,0.020443341,0.000070714
n140085315832216,17,0.0199092480.000069769,0.019909248,0.000069769
n140085315832600,16,0.0201188920.000072979,0.020118892,0.000072979
n140085315832984,17,0.0205119750.000068936,0.020511975,0.000068936
